Feature,Coefficient,Normalized Weight
id,1.8958827475664857,0.19541555871307317
age,-0.010755933752922936,0.0011086533734779545
trestbps,0.07830073804132287,0.008070743030723478
chol,0.08503557803088388,0.008764927584643027
thalch,-0.027560650768883692,0.0028407769285365182
oldpeak,0.6119480500809601,0.06307572040699361
ca,0.5987914453887795,0.061719621112356536
sex_Male,0.5744059613477823,0.05920612021443612
dataset_Hungary,-1.05907843834189,0.10916308248239476
dataset_Switzerland,-0.17320406021526852,0.01785277504201378
dataset_VA Long Beach,-1.6471541690892177,0.1697781957519762
cp_atypical angina,-0.705388115594186,0.07270692921032858
cp_non-anginal,-0.48659150011619945,0.05015476298958459
cp_typical angina,-0.31375416651842924,0.032339787799352454
fbs_True,0.06166470425756693,0.0063560062724534495
restecg_normal,-0.09652212301979671,0.009948887726467428
restecg_st-t abnormality,-0.021159930529070867,0.0021810313174566143
exang_True,0.3912510260475765,0.04032767213599484
slope_flat,0.3079548528101984,0.03174203135586936
slope_upsloping,-0.1277984871665963,0.013172656802959877
thal_normal,-0.16829984716629431,0.017347279892462274
thal_reversable defect,0.2592978837587923,0.026726779856445185
