feature,LR_weight,shap_importance,domain_priority,hrs_component
age,0.0207816591079973,0.29307236915047663,0.6666666666666667,0.2588749446367229
trestbps,0.0154595199056807,0.17339636518321222,0.75,0.22554235403555717
chol,0.0801133028943777,0.6560372163364557,0.5833333333333334,0.4111268743590001
thalch,0.0373810671269053,0.43149750138831894,0.6666666666666667,0.32088476073942307
oldpeak,0.0887077640619717,1.0,0.9166666666666666,0.6188164389581221
ca,0.112169766777422,0.6421642950612807,0.9166666666666666,0.48506695806881445
sex_Male,0.1018019860957909,0.7512868522852902,0.0,0.34123553535243245
cp_atypical angina,0.136805197887071,0.9302143482273763,1.0,0.6268078184457789
cp_non-anginal,0.0966355663163556,0.5651182328543101,1.0,0.4647015196682663
cp_typical angina,0.0545365729243618,0.12880013558191794,1.0,0.2733346834025119
fbs_True,0.0219725518114208,0.060391401096545574,0.16666666666666663,0.06627891449651988
restecg_normal,0.0079855727823118,0.04783247467144488,0.33333333333333326,0.08899388564816932
restecg_st-t abnormality,0.0147731332556483,0.0,0.33333333333333326,0.07257591996892597
exang_True,0.0641994826782618,0.6481391928280589,0.9166666666666666,0.46826880353586164
slope_flat,0.0747692627143956,0.5678086455519145,0.8333333333333334,0.4236978299731907
slope_upsloping,0.0007175128808943,0.054291150339049854,0.8333333333333334,0.18867013195464435
thal_normal,0.0313979731967664,0.3079822050887884,0.8333333333333334,0.3024187379808886
thal_reversable defect,0.0397921075823662,0.2536239408752369,0.8333333333333334,0.2840330860497079
